'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','J06','3','3','11','9','4','5','5','1','1','0','0','0','0','0','3','2','1','2','1','1','0','0','0','0','2','1','0','3','1','1','1','0','0','1','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','1','1','1','0','1','3','1','0','0','0','1','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','J18','0','0','0','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','3','0','0','0','3','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','K30','0','0','0','0','0','1','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','4','0','0','1','4','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','1','0','0','1','2','1','0','0','2','1','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','W54','0','0','3','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','A09','0','0','3','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','J45','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','N39','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','H10','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','L23','0','0','1','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','T79','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','G43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','B01','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','K05','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','C50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','B82','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','L30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','W53','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','H65','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','04','2017','B85','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
