'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','J06','2','2','16','14','3','4','2','0','1','0','0','1','1','1','1','0','0','2','0','1','1','1','0','0','0','0','0','2','0','5','0','0','0','5','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0','1','0','3','0','0','1','0','0','0','2','0','7','3','0','3','7','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','J18','0','0','0','1','0','4','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','3','1','8','6','0','0','8','6','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','1','0','8','4','2','0','6','4','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','1','1','1','1','2','0','3','0','1','0','2','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','A09','0','0','2','2','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','1','0','0','0','0','0','1','1','1','1','0','0','1','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','K30','0','0','2','1','0','2','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','3','0','1','0','2','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','J45','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','1','0','2','1','1','0','1','1','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','H60','0','0','0','0','0','2','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','L73','1','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','H65','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','F48','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','L72','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','1','0','1','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','N39','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','G62','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','L30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','N94','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','L74','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','R59','0','0','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','F20','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','L03','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003768','010000000','015500000','015501000','015501015','05','2017','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
