'DOH000000000003157','03','0369','036901','036901013','03','2016','J06','5','18','49','55','35','28','8','9','4','3','1','2','0','6','2','8','0','6','2','7','0','8','2','5','1','7','1','1','4','7','1','3','3','4','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','J22','8','2','48','32','18','13','9','5','1','4','2','0','2','1','0','0','0','2','0','0','0','3','1','2','0','2','0','1','1','3','0','0','1','3','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','A09','0','2','16','14','8','6','4','2','0','2','1','2','0','0','0','2','0','1','0','0','0','2','0','1','0','0','0','1','0','3','0','2','0','1','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','I10','0','1','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','2','1','1','4','3','2','2','0','5','4','10','10','11','5','3','5','8','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','L08','2','0','4','3','6','3','5','1','0','1','2','1','1','4','2','0','0','2','1','3','0','1','1','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','J40','3','1','9','7','4','3','4','2','0','0','0','2','0','1','1','1','0','3','1','1','2','2','0','0','0','1','0','1','0','2','0','0','0','2','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','T14','1','0','7','0','5','0','2','1','3','0','0','0','1','0','1','0','0','0','0','0','1','0','1','1','0','0','1','2','2','1','1','0','1','1','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','J18','1','0','1','2','0','2','0','0','1','0','0','0','0','1','1','0','0','0','0','0','0','1','2','2','3','1','1','3','2','5','0','0','2','5','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','N39','0','0','0','0','1','2','1','3','1','1','0','3','0','2','1','1','0','1','1','2','0','0','0','2','0','2','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','K30','0','0','3','2','2','1','1','2','0','1','0','0','0','0','1','1','0','0','0','0','0','0','0','3','0','0','0','0','0','8','0','5','0','3','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','J45','2','0','10','10','6','0','3','4','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','3','3','0','0','3','3','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','L03','0','0','1','1','1','0','3','0','1','0','1','0','0','0','1','0','1','0','0','0','0','0','0','2','0','1','0','1','1','0','0','0','1','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','B34','1','0','2','2','1','4','0','2','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','L01','0','0','2','4','3','2','0','1','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','1','1','0','1','1','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','K29','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','1','2','0','1','0','0','0','0','0','1','0','1','0','1','0','0','0','1','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','H81','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','2','0','0','0','2','0','1','1','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','B26','0','0','1','3','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','T79','0','0','0','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','B37','0','1','4','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','B08','1','0','1','3','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','4','0','3','1','1','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','R10','0','0','0','0','1','2','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','B01','0','0','1','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','03','2016','H00','0','0','0','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
