'DOH000000000023671','03','0369','036902','036902010','08','2015','J06','11','13','104','74','52','38','11','17','10','8','12','18','5','15','6','8','1','8','0','8','1','6','2','2','1','6','2','5','3','9','0','3','3','6','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','H10','0','0','1','3','3','4','1','2','3','2','2','5','0','3','0','1','2','0','0','0','0','1','0','1','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','L02','0','0','1','2','1','0','1','1','1','0','0','1','0','0','0','0','1','0','0','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','L30','0','0','2','5','1','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','A15','0','0','0','0','0','0','0','0','0','1','2','0','1','0','1','1','0','0','0','0','1','0','0','0','0','2','0','0','1','2','0','1','1','1','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','J45','0','0','1','2','1','0','1','0','1','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','R10','0','0','1','1','3','0','0','2','0','0','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','I10','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','1','1','0','0','0','1','0','0','0','0','0','0','3','0','2','0','1','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','W54','0','0','0','1','0','0','2','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','H81','0','0','0','0','0','0','0','0','0','0','1','1','1','1','0','0','1','0','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000023671','03','0369','036902','036902010','08','2015','T79','0','0','1','0','1','1','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
