'DOH000000000023671','03','0369','036902','036902010','3','2013','J06','14','19','82','110','40','38','6','8','2','4','1','4','3','3','2','3','1','1','1','3','0','2','0','4','0','4','0','0','0','1','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','J22','6','2','11','6','2','5','2','0','0','0','0','1','0','1','1','4','1','2','0','1','0','1','1','2','0','1','0','2','3','1','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','A09','2','2','7','14','3','0','1','0','1','1','0','0','1','0','1','1','0','0','1','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','N39','0','0','0','0','0','0','0','0','0','1','1','4','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','L30','2','1','2','3','3','3','1','1','0','2','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','2','2','1','1','2','0','3','0','3','0','3','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','T14','0','0','2','2','3','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','J45','0','0','4','6','6','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','4','0','2','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','W54','0','0','1','1','3','2','0','0','0','0','0','1','0','0','1','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','H81','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','0','0','0','0','0','0','2','0','0','1','2','0','0','1','2','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','H65','0','0','3','1','2','1','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','R10','0','0','4','2','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','H10','0','0','0','4','1','1','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','T79','0','0','0','1','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023671','03','0369','036902','036902010','3','2013','L03','0','0','0','1','0','1','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','0','Y'
