'DOH000000000001065','01','0155','01550800','015508015','07','2016','I10','0','1','0','0','0','0','0','0','1','0','1','0','0','1','1','3','2','9','4','15','4','17','14','27','15','31','19','33','39','101','13','34','26','67','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','J06','8','6','34','27','16','14','7','13','0','1','0','4','2','4','3','10','1','3','1','5','0','7','4','9','3','4','4','4','10','17','1','4','9','13','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','K29','0','0','1','1','2','1','1','1','2','3','0','0','0','2','0','3','1','2','1','1','0','1','0','1','0','1','0','3','4','3','1','2','3','1','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','M79','0','0','0','0','0','0','0','2','1','0','0','0','0','2','1','1','0','4','0','3','0','3','1','1','0','3','0','3','2','5','0','2','2','3','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','L23','0','1','2','4','3','1','1','1','0','0','0','2','0','0','0','1','0','1','0','1','0','1','1','0','0','1','2','1','1','1','0','1','1','0','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','J45','0','0','1','1','3','1','1','0','1','0','0','0','0','0','0','1','2','2','0','0','0','0','1','0','1','0','1','2','7','1','0','0','7','1','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','A15','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','0','4','2','10','2','0','0','10','2','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','1','0','2','0','1','2','3','1','1','8','1','3','0','5','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','A09','1','0','6','8','1','1','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','2','1','1','1','6','0','2','6','1','0','1','6','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','T79','0','0','3','0','1','0','1','0','0','1','1','0','2','0','0','0','0','1','2','0','1','0','0','1','0','1','0','0','0','2','0','0','0','2','Y'
'DOH000000000001065','01','0155','01550800','015508015','07','2016','N39','0','2','0','0','2','1','0','0','0','1','0','1','0','0','1','1','0','0','0','2','0','2','0','2','0','1','0','0','1','0','1','0','0','0','Y'
