'DOH000000000002015','01','0155','015509','015509013','11','2015','J06','11','8','34','33','18','18','4','6','0','5','3','2','0','6','2','5','1','9','2','2','0','12','0','3','2','5','2','4','2','7','1','3','1','4','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','I10','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','1','1','1','1','2','1','4','0','1','0','3','1','7','5','9','3','3','2','6','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','A09','1','0','4','8','4','3','0','0','1','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','N39','0','0','0','0','0','0','0','2','0','1','0','3','0','0','1','0','0','2','0','3','1','1','0','1','0','2','0','0','0','2','0','2','0','0','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','O23','0','0','0','0','0','0','0','0','0','1','0','10','0','0','0','3','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','M13','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','2','0','0','1','1','1','5','0','3','1','2','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','T79','0','0','3','2','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','2','0','1','0','1','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','J45','0','0','2','2','1','1','0','0','0','0','0','0','0','1','1','1','0','1','0','0','0','0','0','1','0','0','0','1','1','0','0','0','1','0','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','2','0','3','0','0','0','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','B34','0','0','0','0','2','2','1','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002015','01','0155','015509','015509013','11','2015','R10','0','0','1','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
