'DOH000000000002500','01','0155','015514','015514016','06','2017','I10','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','2','2','1','3','0','3','5','2','1','5','4','9','14','44','6','12','8','32','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','A09','0','1','7','4','2','3','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','1','0','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','K30','0','1','2','1','2','2','0','0','0','1','0','0','1','0','0','0','0','0','0','1','0','0','1','2','0','2','0','0','1','3','1','0','0','3','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','1','0','2','1','8','0','4','1','4','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','J22','2','0','0','1','1','3','1','0','0','0','0','1','1','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','2','2','1','0','1','2','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','1','1','0','2','1','7','1','5','0','2','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','Z35','0','0','0','0','0','0','0','0','0','3','0','1','0','1','0','4','0','2','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','L08','0','0','2','4','2','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','J18','2','2','6','6','2','0','0','2','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','0','0','0','0','0','4','0','0','0','4','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','A15','0','0','0','0','1','1','1','0','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','1','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','L01','0','0','5','3','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002500','01','0155','015514','015514016','06','2017','N39','0','0','0','4','1','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','0','Y'
