'DOH000000000001713','01','0155','015514','015514011','03','2017','J06','26','28','77','76','48','55','18','13','3','14','3','10','2','11','1','4','0','7','4','6','1','7','1','11','4','7','3','6','5','30','2','11','3','19','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','I10','0','0','0','0','0','0','0','0','0','0','1','0','0','1','2','5','2','1','8','6','10','9','5','11','5','10','16','29','28','59','12','16','16','43','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','W54','1','0','6','9','14','12','14','6','15','3','1','0','0','1','3','2','2','7','2','7','3','1','4','2','0','0','0','6','3','5','0','4','3','1','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','J45','2','4','17','12','0','1','1','1','0','2','0','1','0','1','0','0','0','1','0','1','1','1','1','0','1','1','0','1','3','4','0','1','3','3','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','A09','0','1','19','10','2','5','0','1','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','2','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','N39','0','0','0','0','1','0','3','1','1','3','1','6','0','6','0','7','0','1','0','0','0','0','0','1','0','0','0','1','0','2','0','2','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','2','0','3','1','3','3','2','7','6','2','5','0','1','2','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','T78','1','1','1','1','1','1','0','2','0','4','0','2','0','2','0','3','0','0','1','0','0','0','1','1','1','0','1','0','0','4','0','0','0','4','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','W55','1','0','0','0','3','1','0','3','0','0','0','0','1','2','2','4','0','1','0','1','0','2','1','3','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','1','2','8','10','1','2','7','8','Y'
'DOH000000000001713','01','0155','015514','015514011','03','2017','K29','0','0','0','0','0','0','1','1','0','3','0','1','0','2','0','1','0','3','1','1','0','2','0','0','0','1','0','1','2','0','0','0','2','0','Y'
