'DOH000000000001713','01','0155','015514','015514011','06','2017','J06','20','7','58','46','26','34','9','8','4','3','2','6','0','9','2','8','3','5','3','6','4','4','6','8','0','3','6','0','6','16','1','6','5','10','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','1','2','2','4','8','7','12','9','7','10','10','10','18','23','29','11','6','12','23','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','W54','2','3','9','5','26','8','5','2','7','6','2','4','4','2','6','1','4','0','7','4','2','4','4','1','0','3','0','2','4','5','1','2','3','3','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','A09','0','2','23','19','8','6','2','0','0','1','1','3','0','3','2','1','0','0','0','0','0','2','1','1','1','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','N39','0','0','0','2','1','0','0','2','0','4','0','7','0','4','0','4','2','0','0','3','0','1','1','1','0','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','L02','1','0','5','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','J45','2','0','8','5','5','2','0','3','0','0','0','0','0','2','0','1','0','0','0','0','0','1','0','0','0','1','0','0','4','1','0','1','4','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','L30','3','1','9','13','1','4','1','0','0','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','W55','0','0','4','1','2','0','2','3','0','0','0','0','1','0','0','2','1','1','5','0','0','3','0','1','0','0','0','0','0','5','0','0','0','5','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','2','1','0','3','1','1','1','4','4','2','3','0','1','2','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','K30','0','0','0','1','0','0','0','2','1','1','0','0','0','3','0','1','1','1','0','1','1','2','0','0','0','2','0','0','3','1','1','0','2','1','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','M13','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','1','0','0','1','2','1','10','0','0','1','10','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','L23','0','0','3','3','3','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','1','0','1','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','T78','1','1','1','0','1','0','0','2','0','0','0','1','0','1','0','0','1','1','0','1','0','1','1','2','0','1','1','0','1','1','0','0','1','1','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','H10','0','0','2','4','4','1','2','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','R10','0','0','4','3','8','4','0','2','0','4','0','0','0','0','0','0','0','0','0','2','0','4','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','D64','0','0','0','0','0','0','0','2','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0','0','3','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','L03','0','0','3','0','0','3','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','0','0','2','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','T79','0','0','1','0','1','0','2','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','3','1','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','O23','0','0','0','0','0','0','0','0','0','6','0','3','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','M94','0','0','0','0','0','0','0','1','0','1','0','0','0','2','0','0','0','0','1','0','0','1','0','0','0','1','1','0','0','0','0','0','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','O80','0','0','0','0','0','0','0','0','0','0','1','3','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','B35','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','J18','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','1','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','H00','0','0','1','0','0','1','0','1','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','1','1','0','0','1','0','0','0','1','Y'
'DOH000000000001713','01','0155','015514','015514011','06','2017','D44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
