'DOH000000000003726','17','1753','175306','000000000','08','2015','J06','10','10','34','27','15','18','3','7','3','1','1','5','0','6','1','6','0','2','1','4','1','1','0','2','0','4','3','3','2','4','2','4','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','3','1','2','0','3','2','1','0','0','3','7','0','1','3','6','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','J18','3','0','10','4','0','1','0','0','0','0','0','0','0','3','0','0','0','0','0','0','0','1','0','0','1','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','A09','0','0','8','4','1','2','0','0','0','0','0','1','0','0','0','2','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','A15','0','0','0','0','1','0','0','0','2','0','0','1','1','0','0','0','0','0','3','0','0','1','0','2','0','2','1','1','3','2','1','1','2','1','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','N39','0','0','1','0','0','2','2','0','0','1','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','2','0','6','0','2','0','4','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','F20','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','3','0','1','0','0','0','1','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','K30','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','1','0','1','0','1','0','1','1','0','1','1','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','T79','1','0','0','2','1','1','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','H10','0','0','1','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','2','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','O23','0','0','0','0','0','0','0','0','0','1','0','3','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','J10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','1','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','B34','0','0','0','0','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','2','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','N76','0','0','0','0','0','0','0','0','0','1','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','B82','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','L30','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','L40','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','T78','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','B26','0','0','0','0','2','1','4','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','000000000','08','2015','G40','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
