'DOH175306017003726','17','1753','175306','175306017','11','2015','J06','13','3','16','32','13','15','9','8','2','1','1','6','2','4','0','2','0','1','1','4','0','1','3','1','1','2','0','4','4','7','1','4','3','3','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','N39','0','1','1','0','0','1','5','2','0','1','0','6','0','2','0','1','0','2','0','4','1','0','0','1','0','1','0','2','0','1','0','0','0','1','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','A15','0','0','4','4','3','5','2','0','0','1','0','0','0','0','0','0','0','0','1','0','1','0','1','0','1','1','0','1','3','1','1','1','2','0','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','A09','0','0','4','5','3','1','0','2','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','2','0','0','1','4','0','0','0','0','3','6','1','1','2','5','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','J18','2','0','3','3','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','4','1','0','1','0','0','0','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','J45','1','1','6','5','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','K30','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','1','0','3','0','0','0','1','0','1','0','1','1','3','1','1','0','2','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','B34','0','0','0','5','0','2','0','0','0','1','0','3','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','D64','1','0','0','1','0','1','1','1','1','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','1','0','0','0','1','0','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','3','6','2','1','1','5','Y'
'DOH175306017003726','17','1753','175306','175306017','11','2015','J10','0','0','0','4','0','1','0','0','0','0','0','2','0','0','0','0','1','1','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
