'DOH000000000003726','17','1753','175306','175306015','03','2016','J06','20','23','83','88','53','48','18','19','3','7','6','19','5','11','0','11','2','14','6','12','4','8','2','8','2','9','8','11','8','15','2','4','6','11','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','I10','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','1','10','1','6','4','10','4','8','7','10','20','29','4','11','16','18','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','N39','0','0','5','6','3','7','2','1','3','1','1','6','1','7','0','4','0','8','0','3','1','3','0','1','1','2','0','1','4','1','2','0','2','1','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','J45','6','3','11','9','6','4','1','0','1','2','0','0','0','0','0','0','0','1','0','1','0','0','0','2','0','1','1','0','0','2','0','0','0','2','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','J18','1','0','5','3','0','1','1','0','1','0','3','0','3','0','0','0','0','0','1','0','0','1','2','0','1','3','1','0','4','10','0','2','4','8','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','B34','1','0','3','0','0','2','1','5','1','1','2','1','2','2','0','1','0','1','2','1','0','2','1','1','0','2','0','3','2','1','0','1','2','0','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','O23','0','0','0','0','0','0','0','0','0','3','1','11','0','10','1','3','1','4','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','A09','2','0','7','8','3','0','3','0','0','2','0','0','0','0','0','1','0','0','0','0','0','1','1','2','0','0','0','1','1','0','1','0','0','0','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','A15','0','0','0','1','0','1','0','0','0','0','0','0','0','0','1','0','2','0','0','0','1','0','7','1','2','5','1','1','5','4','0','0','5','4','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','2','1','0','1','2','8','5','10','0','5','5','5','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','T14','0','0','1','0','2','0','1','0','1','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','K30','0','0','0','0','0','1','0','0','0','1','0','0','1','2','0','1','0','1','2','1','1','0','0','1','0','2','0','1','2','6','1','1','1','5','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','F20','0','0','0','0','0','0','0','0','2','1','1','2','0','1','2','0','3','0','2','1','1','0','2','1','0','0','0','1','0','1','0','1','0','0','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','M13','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','1','1','1','3','2','1','1','0','3','0','3','1','0','0','3','1','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','K29','0','0','1','0','2','0','1','1','1','0','0','0','0','1','0','0','1','2','0','1','0','0','0','0','1','1','1','0','1','2','0','0','1','2','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','3','0','0','2','0','3','1','6','0','1','1','5','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','M79','0','0','0','0','0','0','0','0','0','1','0','1','1','0','0','0','0','3','1','0','0','2','2','0','0','2','0','1','0','3','0','1','0','2','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','L03','0','0','4','1','0','1','2','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','O99','0','0','0','0','0','0','0','0','0','2','0','2','0','2','1','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','K12','1','0','4','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','L23','2','2','3','2','1','2','0','0','0','0','1','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','T79','0','0','0','0','0','0','0','1','0','0','2','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','H10','0','0','1','0','2','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003726','17','1753','175306','175306015','03','2016','H65','0','0','1','2','0','0','0','0','0','0','0','0','0','0','0','1','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
