'DOH000000000005712','03','0369','036905','036905003','06','2016','J06','0','0','3','2','6','4','1','3','0','1','2','1','2','1','3','3','4','4','1','2','2','2','2','2','0','1','0','1','1','0','0','0','1','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','J22','0','1','6','0','12','6','1','1','1','2','1','0','2','0','1','0','0','0','1','1','0','0','0','0','0','0','1','0','1','0','1','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','A09','0','0','5','2','0','5','1','1','0','0','0','0','3','1','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','N39','0','0','0','0','0','0','0','1','0','1','0','1','1','4','0','1','0','0','0','1','0','2','1','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','K29','0','0','0','0','0','0','0','0','1','0','0','0','2','0','2','1','1','0','1','1','1','2','0','1','0','0','1','0','1','2','0','1','1','1','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','L23','0','0','2','0','0','0','0','3','0','2','1','0','1','2','0','1','2','1','0','0','1','0','0','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','2','3','2','0','2','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','H60','1','0','0','0','2','1','0','0','0','0','1','0','1','1','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','E11','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','2','0','2','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','J45','0','0','1','0','0','2','1','1','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','B82','0','0','1','0','2','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','M15','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','2','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','T79','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','W55','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','D64','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','B26','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','L21','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','K21','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000005712','03','0369','036905','036905003','06','2016','H00','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
