'DOH000000000001718','01','0155','015517','015517005','12','2015','J06','9','0','34','25','12','10','4','4','0','0','0','0','2','3','3','2','0','1','0','1','0','0','0','0','0','1','0','0','1','0','0','0','1','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','I10','1','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','6','2','4','8','8','10','8','6','8','17','16','34','5','10','11','24','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','E10','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','4','2','1','5','2','8','10','0','9','22','10','17','1','7','9','10','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','1','0','2','2','1','4','1','1','0','3','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','A09','0','0','1','3','0','1','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','J45','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','2','1','0','0','2','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','L08','0','0','1','3','1','1','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','J10','0','0','0','0','0','0','0','0','2','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','R10','0','0','0','2','0','0','0','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','T79','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','T78','0','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','L02','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','B37','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','B26','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','M10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','K21','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','H60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','G44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','K82','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','12','2015','J09','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
