'DOH000000000006749','01','0155','015517','015517018','04','2017','I10','3','3','2','1','0','0','0','0','0','0','1','0','1','0','0','0','5','1','9','5','13','18','21','21','34','21','32','38','63','111','28','34','35','77','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','J06','9','6','68','48','24','17','6','5','1','3','1','1','1','0','1','2','2','2','0','2','0','1','1','3','2','1','0','1','1','3','1','1','0','2','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','E10','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','2','4','2','7','10','8','7','7','15','25','30','12','11','13','19','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','J10','1','1','0','0','0','0','0','0','0','2','0','2','1','0','0','3','0','6','2','6','2','3','1','2','0','2','1','1','0','2','0','0','0','2','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','N39','0','0','2','1','0','0','0','1','0','1','0','3','2','0','0','2','0','1','0','1','0','0','0','0','0','1','1','1','0','1','0','0','0','1','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','J45','1','0','5','4','0','1','0','0','0','1','0','1','0','0','0','0','0','1','0','0','1','0','0','2','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','T79','0','0','5','2','1','3','0','1','0','1','0','0','0','0','0','1','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','A09','0','0','7','0','4','3','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','T78','1','0','4','2','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','2','1','2','1','0','0','2','Y'
'DOH000000000006749','01','0155','015517','015517018','04','2017','R10','0','0','9','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','Y'
