'DOH000000000001718','01','0155','015517','015517005','06','2017','I10','2','2','0','0','0','1','0','0','0','0','0','0','0','0','1','0','2','0','6','4','19','8','12','18','13','27','27','24','73','105','32','37','41','68','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','J06','6','3','54','33','31','13','8','3','0','2','0','4','0','9','1','3','0','4','1','2','2','2','0','3','4','3','4','3','2','6','1','5','1','1','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','3','3','3','1','4','4','7','4','7','6','14','22','7','7','7','15','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','T79','0','0','4','2','2','1','1','3','0','1','0','2','0','0','0','0','1','0','0','2','0','0','0','0','0','0','0','1','1','0','0','0','1','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','L08','0','0','4','8','2','4','0','0','0','0','0','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','A09','0','0','4','5','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','T78','0','0','3','1','1','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','2','0','2','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','J10','0','2','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','2','0','0','0','0','0','1','0','0','2','2','1','1','1','1','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','R10','0','0','11','2','3','5','0','4','0','0','0','0','0','1','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','J45','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','1','0','0','2','1','0','1','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','G43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','0','0','1','0','0','0','0','0','0','0','4','0','2','0','2','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','N39','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','0','0','0','1','0','1','0','1','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','R42','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','B37','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','H10','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','E16','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','M13','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','H60','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','H65','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001718','01','0155','015517','015517005','06','2017','M79','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
