'DOH000000000003126','01','0129','012906','012906016','12','2014','J06','22','7','33','30','18','19','2','2','4','1','3','1','3','3','0','5','1','5','2','1','0','5','0','1','1','1','0','2','6','3','2','0','4','3','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','J18','8','8','14','16','7','2','1','3','0','0','0','0','0','2','0','0','0','2','0','0','0','0','0','1','0','2','0','8','4','6','0','4','4','2','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','B34','1','2','5','3','2','1','1','2','0','0','0','0','0','0','0','2','0','2','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','W54','0','0','3','2','2','1','1','1','1','0','0','0','2','1','1','1','1','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','N39','0','2','1','1','0','1','0','0','0','2','0','0','0','0','0','0','0','1','0','1','0','1','1','1','0','0','1','1','2','0','1','0','1','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','I10','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','1','0','3','0','2','0','4','1','1','0','0','1','1','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','J22','0','0','2','4','1','6','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','A09','1','0','6','3','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','K30','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','2','0','0','0','2','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','M79','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','W55','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','1','0','0','0','1','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','L01','0','2','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','T79','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','H65','0','0','0','1','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','J30','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','1','0','0','1','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','A90','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','L23','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','K05','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','I20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','L89','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','J45','0','0','1','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','B86','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','M10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','R10','0','2','0','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','B35','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','O23','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','O13','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','H60','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003126','01','0129','012906','012906016','12','2014','B82','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
