'DOH000000000006679','01','0129','012907','012907012','05','2017','J06','12','7','50','39','21','29','10','6','2','1','5','2','6','4','0','2','1','2','2','2','0','6','1','1','3','6','1','2','4','9','3','5','1','4','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','2','5','7','6','11','8','10','11','18','8','19','6','18','20','57','8','16','12','41','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','K05','0','0','3','1','5','5','6','7','3','12','0','24','2','20','3','8','2','5','3','2','2','3','2','5','2','4','2','2','5','4','2','0','3','4','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','D64','0','0','11','10','3','3','0','1','0','4','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','1','0','1','1','1','1','2','2','2','2','11','1','5','1','6','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','K30','0','0','0','0','0','0','0','1','0','0','0','2','0','2','0','3','0','2','0','1','0','0','0','1','0','0','0','1','0','5','0','1','0','4','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','R10','0','0','3','4','2','2','2','1','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','M79','0','0','0','0','0','0','0','0','0','0','0','1','2','0','0','0','0','2','0','3','0','1','0','3','0','0','0','2','0','1','0','0','0','1','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','L02','0','0','3','3','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','A15','0','0','1','2','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','3','2','0','2','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','T79','0','0','1','0','2','2','0','0','1','0','0','1','0','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','1','1','1','0','0','1','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','J45','0','0','1','2','0','1','0','1','0','0','0','0','0','0','0','1','0','1','0','0','0','2','0','0','0','1','0','0','0','2','0','1','0','1','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','L73','0','0','1','1','1','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','L23','0','0','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','B37','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','O03','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','05','2017','T14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','Y'
