'DOH000000000006679','01','0129','012907','012907012','06','2016','J06','11','17','77','72','42','42','17','13','4','6','3','16','7','8','2','9','3','10','7','6','9','8','3','12','5','6','2','8','8','23','3','10','5','13','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','I10','0','0','0','0','0','0','0','0','0','0','1','1','1','2','2','0','2','4','7','11','9','12','8','16','11','12','8','21','17','61','1','28','16','33','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','R10','1','0','13','8','10','8','7','2','0','1','0','0','0','1','1','0','0','1','1','0','0','0','0','0','0','1','0','0','0','2','0','0','0','2','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','T79','0','0','6','3','2','4','2','3','2','1','2','0','0','0','0','3','3','0','1','2','0','2','0','2','0','1','4','0','5','4','1','1','4','3','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','M79','0','0','0','0','0','0','0','0','0','1','0','2','2','2','1','2','1','2','3','4','0','5','1','2','2','3','0','2','0','11','0','4','0','7','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','D64','0','0','5','3','8','0','3','4','0','0','0','3','0','1','0','0','1','0','0','2','1','3','0','1','0','0','0','0','0','8','0','1','0','7','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','N39','0','0','1','0','1','0','1','0','1','2','2','1','0','6','1','1','0','2','0','1','0','2','0','2','0','1','0','0','1','0','0','0','1','0','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','A15','2','0','4','3','6','0','2','0','2','0','2','0','0','2','0','0','0','0','0','0','4','1','0','0','0','0','1','0','3','0','3','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','2','0','0','1','1','1','3','4','2','11','2','3','0','8','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','J45','0','0','3','0','2','1','2','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','0','0','1','2','1','0','0','2','1','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','4','0','9','0','4','0','5','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','L23','0','0','0','6','1','0','0','0','1','0','1','0','1','0','0','1','0','0','0','2','0','0','0','0','0','0','0','1','0','1','0','1','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','T14','0','0','1','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','0','1','0','0','0','1','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','K05','0','0','0','0','1','1','1','0','0','1','0','4','0','0','0','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','1','1','0','0','3','0','2','1','5','1','3','0','2','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','L73','0','0','1','4','2','0','0','0','0','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','K30','0','0','0','0','0','0','0','0','0','0','0','2','1','2','0','1','0','0','1','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','G44','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','1','0','0','0','2','0','1','0','2','0','0','0','1','0','1','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','R59','0','0','2','1','0','1','0','1','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','L03','0','0','1','0','1','0','0','0','0','0','1','0','0','1','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','L01','0','0','2','1','1','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','3','0','1','1','2','Y'
'DOH000000000006679','01','0129','012907','012907012','06','2016','M94','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','2','0','0','0','0','0','2','0','2','0','0','Y'
