'DOH000000000023668','03','0369','036904','036904025','04','2017','J06','7','7','30','21','7','10','1','2','0','1','1','5','5','4','0','3','1','2','0','3','0','1','1','1','0','1','1','1','1','3','0','2','1','1','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','A09','0','0','5','3','1','2','1','0','0','3','4','0','0','2','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','N39','0','0','1','0','1','0','0','1','0','0','0','0','0','1','1','1','0','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','R10','0','0','0','2','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','H60','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','T79','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','B37','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','J45','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','H10','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','W54','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','W55','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','L23','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','D64','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','T78','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','R42','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','B35','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','B01','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','K12','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','04','2017','B26','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
