'DOH000000000003037','03','0369','036904','036904003','09','2015','J06','6','4','46','43','20','18','6','11','2','3','1','2','2','2','2','3','1','5','2','5','2','7','1','2','0','0','4','2','0','3','0','0','0','3','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','A09','0','0','6','6','1','2','1','0','1','0','0','1','0','0','0','1','0','0','1','0','0','1','0','0','0','3','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','T79','0','0','1','5','4','0','0','2','3','0','0','0','2','0','0','0','1','1','0','0','0','2','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','I10','0','1','0','0','0','0','0','0','0','0','0','0','0','0','4','0','2','1','0','1','2','1','2','1','0','1','0','1','0','1','0','1','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','N39','0','0','0','0','2','0','0','2','2','1','0','0','1','0','0','2','0','1','0','2','1','0','1','1','0','1','1','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','L30','0','0','4','5','5','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','H10','1','0','2','1','3','1','0','3','0','0','0','1','0','0','2','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','L02','0','0','2','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','J45','0','0','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','L23','0','0','3','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','D64','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','T78','0','0','2','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','T14','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','H52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','09','2015','K29','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
