'DOH000000000023668','03','0369','036904','036904025','8','2013','J06','5','11','38','23','17','8','8','6','2','1','1','2','2','1','0','1','2','0','0','0','0','0','0','1','0','1','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','T14','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','T78','0','0','2','1','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','0','1','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','A09','0','0','4','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','D64','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','1','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','W55','0','0','0','0','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','N39','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','K29','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','N94','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','R10','0','0','1','1','0','2','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','B35','0','2','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','W54','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','J18','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','H60','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','J30','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','T79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','J45','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','L24','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','R11','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','F41','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','L08','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','E16','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','L23','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000023668','03','0369','036904','036904025','8','2013','O24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
