'DOH000000000003037','03','0369','036904','036904003','02','2016','J06','13','3','40','39','29','27','11','7','4','2','2','1','0','3','2','2','2','6','1','5','2','5','1','1','2','2','3','0','3','3','0','2','3','1','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','N39','0','0','1','2','1','0','1','0','0','3','1','0','0','5','1','2','3','0','1','3','1','2','0','1','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','A09','1','0','8','4','3','2','2','3','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','H52','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','2','2','3','2','2','0','1','0','2','0','2','0','0','0','2','0','2','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','T79','1','1','1','2','5','1','2','1','1','0','1','1','1','0','1','0','0','0','1','1','0','0','1','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','3','1','1','3','0','1','4','2','1','2','0','2','1','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','R10','0','0','2','2','3','1','0','1','0','1','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','2','0','0','1','0','1','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','L30','0','0','1','0','2','3','0','1','0','0','0','0','1','0','0','0','0','0','1','1','0','0','0','0','1','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','L23','1','0','3','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','K29','0','0','0','1','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','L02','0','0','1','0','2','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','J45','0','0','3','0','0','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','H65','0','0','1','0','2','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','H10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','J40','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','D64','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','J30','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','L03','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','B26','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','B06','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','N94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','T78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','N63','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','L22','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','02','2016','L08','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
