'DOH000000000003037','03','0369','036904','036904003','8','2013','J06','13','11','85','66','37','38','13','11','3','3','10','4','3','2','2','7','1','8','0','4','2','1','4','3','1','0','3','0','3','4','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','2','0','9','1','8','1','3','1','6','0','2','0','3','0','4','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','A09','0','0','5','10','1','3','0','0','0','0','1','0','0','1','0','1','0','0','0','1','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','T79','0','0','3','0','5','2','1','2','1','0','0','0','1','1','3','0','0','0','1','1','1','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','N39','0','0','0','0','2','0','0','0','1','1','0','2','0','0','0','4','2','2','0','0','0','1','0','2','0','0','0','1','1','1','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','J45','0','0','4','3','1','0','1','0','1','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','R42','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','0','0','0','1','0','0','0','1','0','0','0','0','0','2','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','K29','0','0','0','1','0','0','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','W55','0','0','0','0','0','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','T78','0','0','0','0','0','0','0','1','0','0','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','B01','0','0','0','0','1','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','B26','0','0','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','H52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','H00','1','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','L08','0','0','1','2','0','2','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003037','03','0369','036904','036904003','8','2013','J18','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
