'DOH000000000003321','14','1411','141102','141102022','01','2016','J06','10','4','21','16','12','13','0','2','1','0','1','1','0','5','0','1','1','0','0','0','0','2','0','4','1','2','0','2','3','4','1','0','2','4','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','3','1','1','0','2','0','6','1','3','2','6','5','22','4','8','1','14','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','A15','0','0','3','0','3','2','0','0','1','0','1','0','2','2','2','1','0','0','0','1','0','0','1','0','0','0','2','0','7','0','6','0','1','0','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','A09','1','0','5','4','1','1','0','1','0','0','0','3','1','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','J18','3','2','7','2','0','0','0','0','0','0','0','0','2','2','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','2','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','J30','0','0','0','1','0','1','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','J45','0','0','0','2','1','0','0','0','2','2','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','1','1','0','1','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','2','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','H10','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','01','2016','I25','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
