'DOH000000000003321','14','1411','141102','141102022','03','2017','I10','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','1','6','2','2','2','3','1','3','2','6','6','8','1','3','5','5','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','A15','0','1','0','0','2','2','0','0','0','1','2','0','0','0','0','0','1','0','0','0','0','2','0','0','1','0','2','0','1','0','0','0','1','0','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','J18','1','1','9','6','5','8','0','1','3','0','0','0','0','2','0','0','0','2','2','0','0','2','2','0','0','0','0','2','4','0','0','0','4','0','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','B01','0','0','0','0','3','4','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','N76','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','1','0','4','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','J45','0','0','0','1','1','0','1','0','0','3','1','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','B34','1','0','3','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','N39','0','0','1','0','0','0','0','0','0','0','0','5','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','L23','2','0','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','J22','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003321','14','1411','141102','141102022','03','2017','J30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','0','0','0','0','0','Y'
