'DOH000000000000189','03','0369','036916','036916088','07','2016','J06','5','4','22','23','8','6','3','3','0','4','1','2','0','2','0','2','0','0','0','0','0','0','0','2','0','0','0','2','0','3','0','0','0','3','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','N39','1','1','2','3','6','2','2','1','2','0','2','4','0','0','0','1','2','1','0','0','0','2','1','0','1','0','0','0','0','2','0','2','0','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','A90','2','0','4','5','6','1','2','2','1','0','3','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','J45','1','1','12','8','4','2','3','1','0','1','1','1','0','0','0','1','1','0','0','0','0','3','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','A15','0','0','0','0','0','1','0','0','0','0','0','0','0','1','1','0','6','1','0','0','2','3','1','0','1','1','0','0','1','0','0','0','1','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','L01','0','0','4','6','4','3','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','A09','0','0','5','1','1','2','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','K29','0','0','4','3','0','0','0','0','1','2','0','3','0','1','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','2','0','3','2','1','1','0','0','2','0','0','0','2','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','I10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','1','2','0','1','1','3','1','1','0','2','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','J18','0','0','4','0','3','2','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','1','8','0','6','1','2','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','O23','0','0','0','0','0','0','0','0','0','3','0','3','0','1','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','T78','0','2','0','1','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','B35','1','0','1','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','B34','0','0','0','1','1','1','0','0','0','0','0','0','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','L03','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','H00','1','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000189','03','0369','036916','036916088','07','2016','L02','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
