'DOH000000000004703','06','0619','061902','061902018','01','2015','J06','3','2','9','8','5','7','5','4','2','2','1','2','1','2','0','4','0','3','0','4','0','3','0','1','0','2','0','1','0','10','0','2','0','8','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','J18','6','3','20','21','6','4','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','2','0','4','0','0','0','4','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','3','1','7','2','6','1','8','5','2','6','17','1','2','5','15','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','J22','2','1','3','1','2','2','2','2','2','2','1','2','0','1','2','3','0','3','0','1','1','1','0','2','1','4','0','0','6','3','3','1','3','2','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','J45','0','0','6','8','8','8','2','2','2','0','0','2','0','0','2','0','0','1','0','6','0','2','0','6','0','4','0','0','4','2','2','0','2','2','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','J30','4','4','4','11','0','2','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','N39','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','3','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','K29','0','2','0','0','0','2','0','1','0','0','1','0','0','1','1','3','0','0','0','0','0','0','0','0','0','0','0','1','0','3','0','2','0','1','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','L23','0','1','2','3','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','A09','0','0','4','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','1','2','3','0','1','2','2','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','1','1','1','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','H65','0','0','2','1','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','L30','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','J40','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','2','Y'
'DOH000000000004703','06','0619','061902','061902018','01','2015','L01','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
