'DOH000000000004703','06','0619','061902','000000000','08','2013','J06','1','1','8','4','6','5','5','10','0','7','2','1','0','0','0','0','0','0','0','4','0','3','0','3','0','0','0','2','0','4','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','J18','6','6','23','16','5','6','0','1','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','J22','2','3','6','2','1','3','3','0','0','0','0','0','1','0','0','0','0','0','3','0','0','0','0','1','0','0','0','4','1','2','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','J45','0','1','5','4','3','3','5','1','0','0','0','0','1','0','0','0','0','0','0','2','0','1','0','1','1','0','1','2','0','1','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','I10','0','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','2','2','2','1','3','0','2','0','7','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','J30','0','1','2','4','1','1','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','L23','1','0','1','2','2','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','T79','0','0','1','0','2','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','1','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','K29','0','0','0','2','2','0','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','M13','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','1','0','2','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','J40','0','0','0','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','1','0','1','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','A09','0','0','0','3','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','1','0','0','0','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','1','0','0','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','B82','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','L03','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','L04','0','0','0','0','0','0','0','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','D64','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','L01','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004703','06','0619','061902','000000000','08','2013','B08','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
