'DOH000000000007899','08','0860','086006','086006022','01','2016','J06','2','1','21','15','6','8','1','4','1','0','1','0','0','1','1','5','1','8','1','3','0','8','1','10','1','2','1','1','1','6','0','3','1','3','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','J18','4','2','14','11','3','4','0','0','1','0','0','0','0','2','0','0','0','0','0','0','0','0','0','2','0','1','0','0','1','1','0','0','1','1','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','N39','0','0','3','1','5','1','4','0','0','1','0','0','0','0','1','2','1','5','3','1','1','1','0','0','4','0','1','0','2','5','1','3','1','2','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','1','1','3','1','5','2','2','0','6','2','12','1','7','1','5','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','A15','0','0','0','0','0','0','0','0','1','0','1','1','1','2','0','0','1','0','2','1','0','1','3','1','1','2','3','0','1','3','0','1','1','2','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','L08','0','0','4','3','2','1','1','0','0','0','0','1','0','0','3','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','T79','0','0','2','0','1','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','1','0','0','3','1','1','1','1','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','T78','0','0','1','0','1','2','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','2','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','E10','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','2','0','0','2','0','0','0','5','0','0','0','0','0','6','0','4','0','2','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','L02','0','0','2','0','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','A09','0','0','1','1','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','T14','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','R42','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','2','0','1','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','A06','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','1','0','0','0','0','1','0','1','0','1','0','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','0','0','1','1','1','0','0','1','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','H60','0','0','0','1','0','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','J10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','1','0','0','0','1','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','O23','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007899','08','0860','086006','086006022','01','2016','N93','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
