'DOH000000000000843','01','1667','166708','166708009','02','2014','J06','3','3','22','21','12','5','3','1','1','2','0','3','1','7','1','5','0','3','1','2','3','0','0','3','1','1','1','2','0','1','0','1','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','I10','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','0','1','0','1','2','3','0','1','1','1','1','1','0','3','0','1','0','2','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','A15','0','0','0','0','0','0','1','0','0','0','0','0','1','1','0','0','0','0','0','0','1','1','0','1','0','1','0','1','1','3','1','0','0','3','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','J22','3','0','2','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','A09','0','0','4','0','1','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','3','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','N39','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','2','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','T14','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','1','0','0','0','0','0','2','0','2','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','H65','0','0','2','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','N91','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','J18','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','J30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','W53','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','H61','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','T79','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','J45','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','L89','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','T78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','B09','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','B86','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','B05','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','H40','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','B65','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000843','01','1667','166708','166708009','02','2014','N00','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
