'DOH000000000007139','03','0369','036906','036906044','10','2012','J06','3','1','49','39','24','23','5','4','2','1','0','3','0','3','1','4','2','3','0','3','1','2','1','2','1','0','0','0','1','2','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','N39','0','0','6','8','4','5','0','0','0','3','3','0','2','2','3','0','2','4','0','3','0','0','0','1','0','2','0','1','1','4','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','3','1','0','2','0','0','7','0','6','3','1','2','9','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','A15','0','0','2','1','1','3','0','0','0','0','1','0','1','1','0','1','0','0','0','1','3','0','1','2','3','0','3','0','3','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','J18','1','0','4','6','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','6','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','A09','0','0','5','3','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','J22','0','0','1','4','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','B37','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','1','0','0','0','0','0','1','0','2','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','L02','0','0','0','2','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','J45','0','0','2','0','0','0','0','0','0','0','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','O23','0','0','0','0','0','0','0','0','0','0','0','1','0','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','B35','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','N00','0','0','0','0','0','0','0','0','0','0','3','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','D64','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','3','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','L30','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','B34','0','0','3','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','E05','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','4','0','1','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','L50','0','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','L03','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','2','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','J47','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','K30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','B82','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2012','H10','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
