'DOH000000000007139','03','0369','036906','036906044','02','2016','J06','6','1','24','18','9','16','2','2','3','2','0','2','1','4','0','2','0','1','1','1','1','1','1','0','0','1','0','1','1','5','1','2','0','3','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','N39','0','0','3','4','1','2','0','0','0','0','0','0','0','0','1','1','0','2','0','0','0','0','0','1','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','T14','0','0','0','0','3','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','0','2','0','2','3','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','J18','0','1','3','3','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','A09','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','1','0','1','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','A15','0','0','0','0','0','1','0','0','0','0','0','0','0','0','2','0','0','0','0','0','2','0','0','1','2','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','K30','0','0','0','0','1','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','2','1','1','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','L30','0','1','1','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','L50','0','0','0','0','0','0','2','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','B34','0','0','1','1','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','O23','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','H00','0','0','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','T79','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','B35','0','0','1','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','K21','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','1','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','I08','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','1','0','2','Y'
'DOH000000000007139','03','0369','036906','036906044','02','2016','H05','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
