'DOH000000000007139','03','0369','036906','036906044','06','2015','J06','3','0','16','11','10','6','5','4','0','0','0','3','0','3','0','2','1','2','1','2','1','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','N39','0','1','1','4','0','4','2','5','0','0','0','1','1','0','0','0','0','0','0','0','0','1','1','1','0','0','1','1','2','0','1','0','1','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','1','0','0','3','0','1','0','1','2','0','4','3','2','3','2','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','A15','0','0','0','0','0','0','0','0','0','0','0','2','1','1','0','0','0','0','0','1','0','0','4','0','1','0','0','1','2','1','1','1','1','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','O23','0','0','0','0','0','0','0','0','0','1','0','6','0','1','0','2','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','N18','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','2','1','3','1','0','1','3','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','T79','0','0','0','0','1','0','0','0','0','0','2','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','3','0','0','1','0','1','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','A09','0','0','1','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','K30','0','0','0','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','J18','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','2','1','0','1','2','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','L02','1','0','1','2','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','J45','0','0','0','0','2','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','06','2015','H60','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
