'DOH000000000007139','03','0369','036906','036906044','10','2014','J06','2','1','24','17','8','11','6','3','2','0','2','2','0','1','0','1','0','2','1','1','0','2','0','1','0','3','1','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','N39','0','0','2','4','0','2','0','1','0','0','0','0','1','1','0','1','0','1','0','0','0','0','0','0','0','2','0','1','1','0','0','0','1','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','A15','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','0','0','0','0','0','0','1','1','0','0','0','0','0','3','1','2','0','1','1','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','A09','0','0','3','2','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','J18','1','0','4','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','4','0','0','0','4','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','1','0','1','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','B34','0','0','2','1','0','1','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','T79','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','L50','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','K30','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','K21','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','L30','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','I08','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','T20','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','A01','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','B35','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','O23','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','D64','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','H10','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','A06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','L03','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','10','2014','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
