'DOH000000000006529','03','0369','036906','036906027','10','2012','B34','8','6','87','78','33','36','7','9','2','1','2','5','1','6','0','6','0','6','0','10','2','5','0','3','1','6','0','3','5','12','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','J22','10','3','80','56','29','26','5','5','3','0','1','1','0','1','0','1','0','3','1','0','1','0','0','2','0','1','0','0','1','2','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','J06','4','1','9','9','8','7','1','1','1','0','0','1','1','2','0','2','0','1','1','2','0','2','0','2','0','2','1','2','3','3','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','N39','0','0','8','7','11','7','3','3','0','1','1','2','0','1','0','0','0','2','2','0','0','2','0','0','0','0','0','0','0','4','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','T79','0','1','5','5','7','3','1','1','1','0','1','2','1','2','0','2','0','0','0','1','1','0','1','0','0','0','0','0','1','2','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','A09','2','1','8','6','3','5','0','1','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','M06','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','1','0','2','1','0','0','3','1','4','0','3','3','7','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','0','5','0','2','0','3','1','1','0','2','4','7','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','J45','0','0','7','5','1','2','0','0','0','2','0','1','0','3','0','0','0','2','0','3','0','1','0','2','0','0','0','0','8','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','J40','0','1','7','6','3','6','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','T78','0','0','2','3','1','0','0','0','0','1','0','0','0','0','0','1','0','0','2','3','0','1','0','0','0','0','0','1','0','2','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','L73','0','0','2','5','0','2','2','1','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','K30','0','0','0','0','0','0','0','0','0','0','1','1','0','1','1','2','0','3','0','0','0','2','0','1','1','1','0','0','1','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','L02','0','0','2','1','1','1','0','1','1','0','1','1','0','1','0','0','0','0','1','1','0','0','0','0','1','0','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','A15','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','0','0','1','0','2','1','0','2','0','0','0','0','2','0','2','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','H65','0','0','3','2','2','1','0','0','0','0','0','1','0','0','0','1','0','1','0','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','D64','0','0','0','0','1','1','0','0','0','0','0','1','0','1','0','2','1','1','0','1','0','0','0','0','0','0','0','1','1','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','T14','0','0','1','1','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','1','0','0','1','0','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','K29','0','0','1','2','1','3','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','G44','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','2','0','1','0','1','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','J18','0','0','4','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','L01','0','0','6','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','L30','0','0','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','I00','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','N20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','0','0','0','0','2','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','N28','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','2','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','A06','0','0','2','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','M94','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','B37','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','H10','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','M79','0','0','0','0','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','J30','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','L04','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','K59','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','T20','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','A01','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','K80','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','W54','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','W55','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','N94','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','H00','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','I95','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','A41','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','R10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','T26','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','K42','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','T95','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','K37','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','B15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','P38','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','B05','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','10','2012','N00','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
