'DOH000000000006529','03','0369','036906','036906027','12','2012','J06','4','3','23','28','15','15','4','3','1','0','4','2','1','6','0','7','1','5','2','5','2','3','2','1','0','4','0','5','1','6','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','B34','10','7','21','19','8','7','2','1','1','0','1','2','1','3','0','2','0','1','1','1','0','3','0','3','1','2','0','2','3','3','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','J40','2','2','19','12','6','5','3','0','0','1','0','0','1','0','0','1','0','0','0','0','1','0','2','0','0','0','0','0','0','3','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','T79','0','0','5','5','6','7','1','1','1','1','2','0','0','2','0','1','0','0','1','0','0','0','0','1','0','0','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','N39','0','0','5','4','4','2','2','0','0','1','0','1','0','0','0','1','1','1','0','0','0','0','1','2','0','2','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','I10','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','2','0','4','1','1','1','0','1','0','0','5','2','2','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','J22','4','0','3','6','0','2','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','A09','1','0','7','6','0','1','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','L73','1','1','3','2','2','2','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','T78','1','0','1','0','1','0','0','1','0','1','0','1','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','2','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','1','1','1','0','0','0','1','0','1','1','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','M06','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','1','1','0','0','1','0','0','1','0','1','0','0','0','3','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','K30','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','1','3','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','T14','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','L02','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','2','0','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','L04','0','0','0','0','2','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','J45','0','0','5','3','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','1','0','Y'
'DOH000000000006529','03','0369','036906','036906027','12','2012','J18','0','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
