'DOH000000000007139','03','0369','036906','036906044','3','2013','J06','3','1','21','15','12','9','2','3','2','0','1','2','0','2','0','2','2','3','2','1','2','2','1','1','0','0','0','0','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','N39','0','1','10','9','0','4','0','1','0','0','0','0','2','1','0','1','0','1','1','0','0','1','0','0','0','1','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','A15','0','0','0','1','1','1','4','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','0','0','1','1','2','2','1','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','2','0','1','3','0','1','1','1','0','4','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','J18','0','0','2','4','1','1','0','2','0','0','0','0','0','0','0','0','0','0','2','2','0','0','0','0','0','0','0','2','2','6','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','J22','0','0','1','1','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','H10','0','1','0','1','2','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','L02','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','A09','0','0','4','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','B34','0','0','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','L50','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','J45','0','0','0','0','0','1','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','A90','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','O23','0','0','0','0','0','0','0','0','0','2','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','I49','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','2','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','B37','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','T79','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','L23','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','B82','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007139','03','0369','036906','036906044','3','2013','B26','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
