'DOH000000000006529','03','0369','036906','036906027','7','2013','J06','17','9','94','75','47','39','19','24','4','0','3','8','1','5','0','10','3','9','2','4','5','7','1','8','3','6','0','3','7','12','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','B34','11','10','82','81','55','35','11','9','3','6','2','3','3','1','0','7','1','10','1','7','0','1','0','1','0','1','0','0','3','7','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','T79','0','2','9','8','4','4','5','3','1','2','1','1','1','2','1','2','2','2','2','1','2','1','0','0','0','2','0','0','3','0','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','1','3','4','9','3','8','0','4','1','4','2','5','4','10','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','A09','0','0','23','13','3','1','0','1','0','0','2','0','1','0','0','0','0','1','0','2','0','0','0','0','0','1','0','1','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','N39','0','0','7','8','4','8','2','4','0','1','0','0','0','5','1','0','1','0','2','3','0','1','0','1','0','0','0','0','0','3','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','J40','2','1','16','8','4','4','3','2','0','1','1','0','0','4','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','T78','0','2','3','5','5','2','0','0','0','2','0','3','0','1','1','4','0','2','0','1','0','2','1','1','0','2','1','1','0','2','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','L73','1','0','6','11','4','4','0','2','1','0','0','1','1','0','0','2','0','0','0','1','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','J22','1','1','11','5','5','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','L02','0','0','6','3','0','0','1','1','1','0','1','1','0','0','1','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','T14','0','1','1','0','1','0','1','0','3','0','0','0','0','0','0','1','1','0','0','2','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','7','2013','H81','0','0','0','0','1','0','0','0','0','1','0','1','0','1','1','3','0','2','0','1','0','2','0','0','0','2','1','1','0','1','Y'
