'DOH000000000006529','03','0369','036906','036906027','08','2015','J06','0','0','7','14','10','8','5','3','3','1','2','2','1','6','1','5','0','2','0','2','2','3','0','5','0','3','2','1','1','10','0','0','1','10','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','J22','1','2','21','17','13','5','6','2','2','1','0','1','1','3','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','T79','0','1','6','3','5','4','2','0','4','0','0','0','1','0','0','1','1','1','0','1','1','0','0','1','1','0','0','0','1','1','1','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','B34','0','2','3','6','4','0','2','0','1','0','0','1','0','0','0','1','0','1','0','1','0','0','0','1','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','N39','0','0','3','1','2','2','2','3','0','2','1','0','0','1','1','0','0','1','0','0','0','0','0','0','1','1','0','1','0','1','0','1','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','2','1','2','0','2','1','2','1','6','0','1','1','5','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','A90','0','0','1','1','1','1','3','1','3','1','2','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','L73','1','2','7','1','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','D64','0','0','0','0','0','0','0','0','0','0','1','1','0','2','1','1','0','1','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','T78','0','0','0','0','0','1','1','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','2','Y'
'DOH000000000006529','03','0369','036906','036906027','08','2015','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','2','3','1','0','1','3','Y'
