'DOH000000000004925','03','0369','036906','036906031','2','2013','J06','14','9','91','98','23','29','3','4','1','2','4','1','1','9','3','12','0','11','1','6','1','6','0','3','0','4','0','5','5','4','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','B34','1','0','8','7','5','7','2','1','0','0','0','0','0','0','2','0','0','3','0','0','1','1','0','1','0','0','0','1','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','A09','0','0','6','17','3','8','1','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','J45','0','0','8','1','1','2','1','0','0','1','0','1','0','0','0','4','0','0','0','0','0','0','0','0','0','0','1','1','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','3','0','2','0','1','0','3','1','0','2','0','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','T79','0','0','2','1','3','0','2','1','1','0','0','1','0','0','0','1','0','0','0','0','1','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','K29','0','0','2','1','1','1','0','0','0','1','1','0','0','0','0','1','0','2','0','1','0','0','0','0','0','0','1','1','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','H81','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','3','1','0','0','0','0','0','0','0','0','2','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','B82','0','0','0','1','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','L03','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','1','0','0','1','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','2','2','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','T14','0','0','2','1','1','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','N39','0','0','0','0','0','0','0','0','0','1','1','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','T78','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','Y'
'DOH000000000004925','03','0369','036906','036906031','2','2013','L73','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
