'DOH000000000002320','16','1668','166809','166809041','09','2015','J06','0','0','0','1','7','5','2','3','2','1','1','4','0','2','0','2','0','4','1','1','2','0','0','1','0','3','0','1','5','2','3','1','2','1','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','J22','0','0','3','2','2','5','3','0','0','2','2','1','3','5','2','0','0','1','0','0','0','0','0','1','1','3','0','0','2','2','1','1','1','1','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','1','0','1','1','0','1','1','4','2','4','6','1','4','3','2','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','L23','1','1','5','2','1','4','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','1','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','N39','0','0','1','1','0','0','0','0','0','0','0','2','0','0','0','1','0','1','0','3','0','0','0','2','0','1','0','0','1','1','0','1','1','0','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','A15','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','0','0','2','0','2','0','0','2','3','1','1','1','2','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','A09','1','0','1','4','1','1','0','0','0','0','0','1','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','J18','1','0','1','3','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','2','0','2','0','0','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','H26','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','2','1','1','4','0','2','1','2','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','T79','0','0','1','0','1','0','0','0','0','1','1','0','1','0','1','0','0','0','0','0','0','0','0','1','0','0','1','0','1','1','0','1','1','0','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','J45','1','0','0','2','0','1','0','1','0','1','0','0','0','1','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','H65','0','0','3','1','1','0','1','0','0','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','L08','0','0','4','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','K29','0','0','2','0','0','0','1','0','1','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','A06','1','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002320','16','1668','166809','166809041','09','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','1','0','2','0','0','0','0','2','1','1','0','1','1','Y'
