'DOH000000000007340','09','0983','098304','009834012','11','2015','J06','8','4','16','11','1','4','0','5','0','0','1','2','0','2','1','6','0','4','1','3','1','4','1','2','1','1','1','3','3','3','2','2','1','1','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','B34','10','3','13','9','7','4','1','0','1','0','0','0','0','1','0','1','0','1','0','4','0','1','1','1','0','3','0','1','0','7','0','4','0','3','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','2','4','1','3','0','8','2','4','5','13','3','5','2','8','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','N39','0','0','1','3','0','2','0','0','0','1','0','0','0','4','1','2','0','2','1','1','1','1','0','1','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','M13','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','2','0','1','2','7','0','4','2','3','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','T78','0','0','3','1','0','0','0','0','0','0','1','2','0','1','0','1','0','0','0','0','0','0','0','1','0','2','0','0','0','1','0','0','0','1','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','K29','0','0','0','0','0','0','1','0','0','0','0','1','0','1','1','1','0','1','0','0','0','3','1','2','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','J18','2','0','2','2','0','0','0','0','0','0','0','0','0','1','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','A09','0','0','4','1','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','L08','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','T79','1','0','0','1','0','0','2','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','K21','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','1','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','L23','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','1','1','0','1','0','0','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','J45','0','1','0','1','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','O23','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','L01','0','0','1','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','0','0','1','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','H61','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007340','09','0983','098304','009834012','11','2015','B37','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
