'DOH000000000007320','09','0983','098305','098305023','08','2015','J06','23','11','33','42','9','9','3','4','4','2','5','5','1','7','2','3','1','2','1','1','0','1','1','1','0','1','2','3','3','9','1','3','2','6','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','B34','0','1','22','15','21','13','9','10','4','3','3','3','4','3','3','5','0','2','0','4','0','2','1','2','2','2','1','4','1','5','0','1','1','4','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','N39','0','0','1','2','3','1','1','0','1','2','1','7','1','2','0','2','0','1','1','1','0','1','0','1','1','1','1','1','1','2','0','0','1','2','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','A09','0','0','9','14','2','0','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','0','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','1','0','6','1','4','1','7','1','3','0','4','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','J22','1','1','3','1','1','1','2','1','0','0','0','1','1','0','0','0','0','1','0','1','0','0','2','1','0','0','0','1','2','2','0','1','2','1','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','J42','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','1','0','0','0','1','0','0','1','1','0','1','1','3','4','3','0','0','4','3','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','B09','0','0','2','2','1','1','0','1','1','1','0','2','0','0','0','1','0','1','1','1','0','0','0','0','0','1','0','0','1','1','0','0','1','1','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','M79','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','3','0','0','0','2','1','0','0','1','4','4','2','1','2','3','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','K30','0','0','0','0','0','1','1','1','0','1','1','1','0','0','0','0','0','2','0','2','0','0','0','0','0','0','0','1','0','1','0','1','0','0','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','K29','0','0','0','0','0','0','0','2','0','0','0','1','0','1','0','0','1','0','0','2','0','1','0','0','0','1','0','2','1','2','0','0','1','2','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','A06','0','0','3','3','0','1','1','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','L01','0','1','1','2','0','1','2','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','L24','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','T78','0','2','2','0','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','D64','0','0','0','0','0','0','0','2','0','0','0','1','0','1','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','2','0','2','0','0','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','J45','0','0','5','3','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','4','0','0','0','1','0','0','0','1','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','3','0','1','2','1','0','0','2','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','J18','0','0','0','1','0','0','0','1','0','2','0','0','0','0','0','0','2','0','0','0','0','0','2','0','0','0','0','2','4','0','2','0','2','0','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','1','3','0','0','1','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','T79','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','1','0','0','0','1','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','1','1','1','0','0','1','1','Y'
'DOH000000000007320','09','0983','098305','098305023','08','2015','K21','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','1','0','0','0','1','0','0','1','0','0','0','1','Y'
