'DOH000000000002098','03','0369','036907','036907018','11','2012','B34','4','2','23','21','12','11','9','3','5','2','1','1','0','1','2','1','0','2','0','0','0','2','0','0','0','0','0','0','2','1','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','2','0','1','2','1','7','2','13','2','4','7','11','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','J40','1','1','13','8','7','6','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','3','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','A15','0','0','0','0','0','0','1','2','1','0','0','0','5','0','0','1','2','0','1','0','2','0','1','1','0','0','0','0','4','1','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','A09','0','1','12','4','1','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','J45','0','0','20','6','6','6','4','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','1','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','T79','0','0','1','3','0','5','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','J30','2','1','3','2','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','N39','0','0','0','0','2','0','1','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','1','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','R52','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','3','0','1','0','0','0','2','0','0','0','0','0','0','0','1','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','2','4','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','K04','0','0','1','0','1','3','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','R42','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','1','1','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','L23','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','H65','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','J43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','H00','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','H10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','L30','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','B01','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','S06','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','M10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','B82','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','J01','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','B26','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','L40','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002098','03','0369','036907','036907018','11','2012','K59','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
