'DOH000000000004048','03','0369','036907','036907020','07','2015','J06','4','7','34','37','17','18','6','8','5','1','3','3','3','4','0','0','1','5','1','6','0','1','0','0','0','4','1','1','1','7','0','3','1','4','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','1','0','1','3','2','2','3','2','9','2','2','3','6','2','1','1','5','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','A09','1','2','5','5','0','4','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','K29','0','1','0','0','0','0','0','0','0','2','0','0','0','0','0','3','0','0','0','1','0','2','0','1','2','1','1','0','1','2','1','2','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','2','0','1','0','4','0','1','0','3','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','T79','0','1','0','3','1','1','1','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','T14','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','J10','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','L23','0','0','0','0','0','0','0','1','0','0','0','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','J45','0','0','0','0','0','0','0','0','0','2','0','0','0','0','2','0','0','0','0','1','0','0','0','0','2','0','2','1','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','J40','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','T78','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','R25','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','B35','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','L73','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','H10','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','H60','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','L21','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','E05','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','07','2015','L08','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
