'DOH000000000005782','01','0155','015548','015548013','09','2015','J06','6','4','51','54','34','43','22','23','9','5','4','5','0','7','1','3','2','4','6','4','1','5','2','7','2','17','2','8','9','18','1','5','8','13','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','I10','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','2','0','2','0','2','2','4','3','6','5','6','13','21','3','6','10','15','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','N39','0','1','2','2','3','1','0','0','0','2','4','2','1','2','0','2','1','3','2','1','1','3','1','2','0','2','0','0','0','4','0','0','0','4','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','L08','1','0','10','4','4','2','0','1','2','0','0','0','0','1','1','0','0','0','0','0','0','1','0','0','0','1','1','1','1','1','1','1','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','T78','0','0','2','2','0','1','0','0','1','0','1','3','0','2','0','0','0','0','0','3','1','1','0','1','1','0','1','0','1','1','0','0','1','1','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','M13','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','1','1','0','0','0','0','0','0','2','8','1','2','1','6','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','J45','0','0','3','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','1','1','2','0','1','1','1','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','2','3','2','0','1','0','1','1','0','1','1','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','M79','0','0','0','0','0','0','1','0','0','1','0','0','0','1','0','0','0','0','0','1','0','2','0','1','1','2','0','0','0','2','0','2','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','A09','0','0','2','1','1','2','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','D64','0','0','0','2','2','0','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','3','0','0','0','3','0','0','0','3','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','K29','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','2','1','0','1','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','L02','0','0','0','0','1','1','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','H10','1','0','0','1','1','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','E10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','G45','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','09','2015','H52','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
