'DOH000000000005782','01','0155','015548','015548013','07','2016','J06','10','5','84','41','72','39','27','27','14','16','5','16','3','10','5','11','2','10','4','9','6','10','7','7','4','7','2','7','9','25','4','5','5','20','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','I10','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','1','0','2','3','8','3','8','1','6','1','13','16','29','9','4','7','25','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','L08','1','0','13','10','14','4','2','2','0','1','1','3','0','0','0','1','0','0','0','0','1','0','1','0','1','0','1','1','1','1','1','1','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','M79','0','0','0','0','0','0','1','2','0','2','0','1','0','3','0','1','0','1','2','2','2','3','1','4','1','2','2','2','3','9','0','3','3','6','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','A09','0','1','11','7','4','2','1','1','2','1','0','0','0','1','0','3','0','1','1','0','0','0','0','0','0','0','0','1','1','1','0','0','1','1','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','N39','0','0','1','0','4','2','2','0','1','2','1','3','1','0','2','1','1','1','0','1','0','1','0','5','0','1','1','1','1','1','0','0','1','1','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','T78','0','0','1','0','1','2','1','1','1','1','0','1','0','1','2','2','3','0','0','1','0','2','0','0','0','1','0','2','2','4','0','0','2','4','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','D64','0','0','2','0','1','0','1','0','2','0','0','0','0','2','1','2','0','1','0','0','0','1','1','1','0','0','0','1','1','1','1','1','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','J45','0','0','4','2','1','2','2','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','1','0','0','1','0','2','2','0','1','2','1','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','T14','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','0','3','6','0','3','3','3','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','L04','0','0','0','0','2','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','K29','0','0','0','0','0','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','1','1','1','0','0','0','1','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','J18','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','4','0','0','0','4','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','1','1','0','2','0','2','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','H10','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','S06','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','W54','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','2','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','T79','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','J10','0','0','0','0','0','0','0','0','0','0','2','1','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','H65','0','0','1','1','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','J30','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','B37','0','0','2','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005782','01','0155','015548','015548013','07','2016','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','0','2','1','Y'
