'DOH000000000004048','03','0369','036907','036907020','06','2016','J06','11','16','64','64','25','30','8','7','5','7','4','4','1','5','3','8','0','5','1','8','3','5','3','8','2','5','0','10','4','10','2','3','2','7','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','I10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','3','0','3','6','15','8','15','9','12','9','31','22','24','23','66','8','18','15','48','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','4','2','5','1','3','1','13','5','8','8','23','1','6','7','17','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','L23','0','0','7','23','6','4','1','0','1','0','1','3','0','0','1','3','0','3','0','2','0','2','0','2','0','4','0','1','0','3','0','1','0','2','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','B34','0','0','15','11','8','4','2','1','0','0','2','2','1','1','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','A09','0','0','13','12','4','2','3','1','0','1','0','2','0','0','0','2','0','0','0','1','0','1','0','0','0','1','0','1','0','1','0','0','0','1','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','L02','1','1','6','8','2','2','2','0','1','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','1','1','0','0','1','0','1','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','R52','0','0','0','0','0','0','1','0','0','1','1','0','3','0','1','0','1','2','0','2','0','1','0','2','0','0','0','1','1','0','0','0','1','0','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','K30','0','0','0','0','0','1','0','1','0','0','0','1','1','1','0','0','1','3','1','0','1','0','0','3','0','0','1','3','0','2','0','0','0','2','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','H10','0','0','4','4','4','0','1','0','0','0','0','2','1','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','6','0','1','0','1','0','2','0','6','0','2','0','4','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','0','0','1','1','0','8','0','2','0','6','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','T14','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','H81','0','0','0','0','0','0','1','0','1','2','0','0','0','1','0','2','0','1','0','0','0','1','0','1','0','2','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','J45','0','0','4','2','4','0','5','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','H65','0','0','3','4','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004048','03','0369','036907','036907020','06','2016','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','3','0','2','0','0','3','0','1','0','2','Y'
