'DOH000000000002558','09','0973','097313','097313034','02','2016','I10','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','2','0','3','2','5','1','2','2','1','2','9','6','6','3','3','3','3','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','A09','0','0','9','4','2','4','0','2','0','0','0','0','0','0','2','0','0','0','1','0','0','0','0','0','1','1','1','1','0','1','0','0','0','1','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','R10','0','0','3','0','3','4','2','0','1','0','1','3','0','0','1','1','0','0','0','0','0','0','0','0','1','1','0','2','2','2','0','1','2','1','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','N39','0','0','0','0','1','0','0','0','2','3','0','1','1','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','2','1','3','1','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','J45','0','0','2','2','0','0','0','0','0','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','A15','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','2','0','0','0','1','1','0','1','0','1','0','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','T78','0','0','0','0','0','2','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','K29','0','0','0','0','0','1','0','0','0','2','0','0','0','0','0','0','0','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','L89','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','1','0','0','1','1','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','J18','0','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','A49','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','O23','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','B26','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000002558','09','0973','097313','097313034','02','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','Y'
