'DOH000000000001721','01','0129','012911','012911007','03','2016','I10','2','0','0','0','0','0','0','0','0','0','1','1','2','2','4','0','6','8','8','18','18','26','18','31','32','29','26','40','86','133','31','45','55','88','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','J06','2','0','11','19','27','18','15','11','2','3','3','14','7','10','6','4','5','5','4','10','6','10','1','6','1','13','3','7','6','18','2','5','4','13','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','J18','13','4','35','41','12','8','4','0','0','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','2','4','7','1','2','3','5','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','D64','2','1','19','21','10','10','2','1','0','3','1','5','0','3','0','2','0','6','0','6','0','4','0','5','0','5','1','3','3','7','0','1','3','6','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','7','1','0','7','0','10','10','13','5','7','23','31','10','11','13','20','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','J30','1','0','4','7','2','4','2','1','0','0','0','2','1','0','2','2','0','1','0','3','0','5','2','4','1','8','4','5','6','8','1','3','5','5','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','N39','0','0','2','0','4','6','2','3','2','2','0','9','3','2','0','2','1','1','0','3','1','4','6','4','3','2','1','1','0','8','0','0','0','8','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','J22','0','0','0','0','3','5','4','2','5','2','2','1','5','0','0','1','0','7','1','1','1','2','1','1','2','3','1','3','5','3','1','1','4','2','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','M13','1','0','0','0','0','0','0','0','0','0','0','1','0','1','3','1','1','1','1','2','1','3','1','2','1','5','3','4','12','13','4','5','8','8','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','A09','1','3','15','6','7','3','0','0','0','0','0','0','0','0','0','0','2','0','0','2','0','1','1','1','3','1','1','0','0','3','0','2','0','1','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','J45','0','0','2','0','5','3','2','9','0','0','0','0','0','0','0','1','0','1','0','0','0','3','1','2','0','1','3','2','8','11','0','5','8','6','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','2','2','0','1','1','1','1','1','7','10','0','3','7','7','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','H52','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','2','1','1','0','2','2','1','2','0','0','2','0','0','2','2','1','1','1','1','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','L23','1','0','6','3','2','2','1','0','0','0','1','0','0','2','1','0','0','1','0','0','1','0','1','1','0','0','1','0','0','1','0','1','0','0','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','B09','0','0','0','1','3','0','1','3','0','2','0','2','0','3','0','1','0','1','0','0','2','2','1','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001721','01','0129','012911','012911007','03','2016','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','1','1','1','1','0','1','2','4','0','0','1','3','4','4','2','3','2','1','Y'
