'DOH000000000001721','01','0129','012911','012911007','07','2016','I10','0','0','0','0','0','0','0','0','0','0','1','0','2','0','3','0','2','4','1','8','9','4','7','21','7','7','8','9','22','45','12','20','10','25','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','J06','0','1','3','2','9','5','6','4','2','6','1','3','3','2','1','0','1','2','2','4','0','5','1','6','0','1','0','1','2','5','0','2','2','3','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','N39','0','0','3','3','3','7','4','4','0','4','0','4','2','0','0','3','3','1','0','5','0','3','1','0','1','0','2','0','1','3','1','1','0','2','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','2','1','1','7','4','1','3','1','8','13','3','5','5','8','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','D64','0','0','3','4','6','0','1','0','0','3','1','1','0','1','0','0','0','1','0','1','0','1','0','0','0','0','0','2','2','3','0','1','2','2','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','B09','0','0','2','1','5','1','0','1','1','1','2','1','0','2','0','0','0','1','0','4','0','1','1','0','0','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','J18','2','1','9','5','1','2','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','1','0','1','1','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','0','0','1','4','0','1','0','1','0','1','1','1','8','5','4','4','4','1','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','J30','0','0','0','1','0','1','0','0','1','0','0','0','0','1','1','0','0','0','0','0','0','1','1','0','1','3','1','1','1','5','1','2','0','3','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','J22','0','0','0','0','1','2','1','1','0','2','2','0','0','0','1','0','0','0','0','2','0','0','1','0','0','0','0','1','2','2','1','0','1','2','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','M79','0','0','0','0','0','0','1','1','0','1','0','2','2','1','1','1','0','0','0','2','0','0','0','1','0','1','0','0','0','4','0','4','0','0','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','L01','0','0','5','0','7','2','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','I24','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','1','0','0','2','1','0','0','1','9','0','4','1','5','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','A09','0','0','6','4','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','1','0','2','0','1','0','1','0','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','L23','0','0','3','2','3','0','0','0','0','0','1','1','0','1','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001721','01','0129','012911','012911007','07','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','1','0','0','4','1','0','2','0','2','3','6','3','6','2','4','1','2','Y'
