'DOH000000000001721','01','0129','012911','012911007','01','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','1','1','2','3','6','1','4','4','6','3','13','8','20','4','5','4','15','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','J06','0','0','3','5','4','1','1','1','0','2','1','3','1','2','1','2','0','0','0','0','0','2','0','2','0','3','1','4','1','3','0','0','1','3','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','D64','1','0','7','4','1','1','1','0','0','2','0','1','0','0','0','1','0','1','0','1','0','1','0','2','0','0','0','0','0','3','0','1','0','2','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','J18','2','0','7','6','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','1','2','3','1','1','1','2','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','1','2','3','0','1','2','2','2','1','0','1','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','J22','0','0','0','0','1','0','1','0','0','1','0','0','2','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','1','0','0','1','0','1','0','1','0','0','0','1','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','1','0','0','0','2','0','1','0','1','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','N39','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','J30','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','J45','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','2','0','0','0','2','0','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','2','0','1','0','1','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','0','0','0','0','0','1','0','2','0','1','0','1','Y'
'DOH000000000001721','01','0129','012911','012911007','01','2016','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','1','0','0','Y'
