'DOH000000000004937','09','0972','097206','000000000','07','2015','J06','7','1','20','16','12','17','6','4','2','1','1','3','0','4','0','1','2','4','1','0','0','3','1','4','2','3','1','3','0','2','0','2','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','3','0','4','1','5','2','3','3','3','1','5','5','9','1','3','4','6','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','K29','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','1','0','0','0','1','0','4','0','0','0','1','0','2','3','1','0','1','3','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','N39','0','0','0','0','1','5','2','0','0','2','1','2','0','1','0','0','0','0','0','2','0','2','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','A09','0','0','6','1','2','3','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','L23','0','0','6','3','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','T79','0','0','2','1','1','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','1','0','1','1','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','A15','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','1','0','2','0','0','0','0','0','0','2','0','2','1','1','0','0','1','1','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','B09','0','0','1','2','1','2','0','0','0','0','0','1','1','0','0','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','4','1','0','0','0','1','3','0','2','1','1','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','J45','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','0','0','1','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','M79','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','1','0','0','0','2','0','1','0','1','0','0','0','1','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','T78','1','0','0','0','0','0','0','1','1','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','J22','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0','1','1','1','0','0','1','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','3','0','0','0','3','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','J18','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','L04','0','0','1','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','A90','0','0','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','H00','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','B34','0','0','0','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','D64','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','B26','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','B35','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','H60','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','B86','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','H10','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','T14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','H65','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','A17','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','B00','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','H52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','O23','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','B01','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','N93','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004937','09','0972','097206','000000000','07','2015','B15','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
