'DOH000000000005679','09','0972','097206','097206010','03','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','1','3','3','13','1','19','4','20','4','11','3','13','10','36','6','12','4','24','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','J06','9','4','19','14','14','17','3','8','2','2','0','2','1','3','1','2','1','2','1','4','0','1','1','2','2','2','1','4','3','7','2','1','1','6','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','N39','0','0','4','1','0','1','0','2','0','2','1','2','0','1','0','8','2','2','0','7','0','8','0','10','2','5','0','2','2','4','0','0','2','4','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','K29','0','0','2','1','1','0','0','1','0','1','0','1','2','2','0','0','0','1','0','2','0','0','2','1','0','1','1','1','2','7','1','2','1','5','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','4','2','3','1','3','0','2','1','1','0','9','0','3','0','6','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','L23','2','0','6','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','T78','2','1','0','0','0','0','1','1','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','1','0','0','1','0','1','1','0','0','1','1','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','J18','0','0','0','6','2','0','0','0','0','2','0','2','0','0','0','0','2','0','0','2','0','0','2','2','2','0','0','1','0','6','0','0','0','6','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','D64','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','0','4','0','3','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','J45','0','0','0','2','2','0','2','0','0','0','2','0','0','0','0','0','0','0','0','2','2','2','2','3','0','0','0','0','1','4','0','0','1','4','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','2','1','0','2','1','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','1','0','0','0','0','5','0','2','0','3','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','A09','0','1','0','6','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','1','0','4','0','2','0','2','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','B86','0','0','0','1','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','L04','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','H60','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','J22','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','H10','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','B37','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','L50','0','0','2','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','B01','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','A06','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','I51','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','M81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','T14','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','J43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','N61','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','P20','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','D25','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','K40','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','J47','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','L72','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','O03','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','E05','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','R10','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','B35','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','H11','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','O23','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','N91','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','Z35','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','A90','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','B15','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005679','09','0972','097206','097206010','03','2016','C00','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
