'DOH000000000007229','03','0369','036909','00000NULL','01','2011','J06','13','8','53','39','20','15','4','4','0','3','3','0','0','4','0','1','0','4','0','0','1','2','1','2','0','3','0','1','0','2','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','3','0','0','2','1','0','3','0','3','1','3','2','6','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','A09','1','0','11','7','0','1','0','1','0','0','0','0','1','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','J45','2','0','7','8','7','3','6','2','0','0','0','0','0','3','1','0','0','1','0','0','0','3','0','0','0','0','0','0','3','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','N39','0','0','3','0','1','1','0','0','0','2','1','2','0','0','1','2','1','1','0','0','0','0','1','1','0','0','0','1','0','3','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','J18','5','3','2','4','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','K30','0','0','2','4','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','L23','0','1','2','3','2','0','0','0','0','0','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','H10','0','0','2','1','0','1','1','0','0','1','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','K29','0','0','1','2','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','2','2','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','T79','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','S09','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','T14','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','01','2011','T78','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','Y'
