'DOH000000000007451','04','0434','043414','043414012','06','2016','J06','8','9','49','50','25','23','15','7','7','6','6','5','0','3','2','5','3','2','2','1','2','4','1','4','5','3','4','5','7','11','3','2','4','9','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','N39','0','1','12','8','14','8','12','13','8','5','5','7','5','2','1','7','2','6','0','4','0','0','1','2','1','3','0','2','4','9','0','2','4','7','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','A15','1','1','5','2','2','0','0','0','0','1','1','0','5','0','5','1','0','0','4','0','3','1','1','2','3','3','3','1','11','4','5','1','6','3','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','E10','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','2','1','3','1','5','3','6','6','11','3','3','3','8','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','2','2','0','1','2','1','2','1','2','2','8','1','1','1','7','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','T78','0','0','3','3','1','2','0','2','1','1','0','0','0','0','0','1','0','0','1','1','0','0','0','0','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','T79','0','0','2','2','0','3','0','0','0','0','2','0','0','0','0','2','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','M13','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','2','0','0','0','4','0','1','0','3','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','K29','0','0','0','1','0','0','1','0','0','0','0','2','0','1','0','0','0','0','0','0','1','1','0','3','0','2','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','A09','1','0','3','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','J45','0','0','2','0','0','0','1','1','2','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','1','0','0','2','1','0','0','0','1','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','1','0','0','1','0','2','0','2','0','0','0','2','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','H10','0','0','0','1','0','2','2','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','0','1','1','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','H60','0','0','0','0','1','1','0','0','0','1','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','B09','0','0','0','2','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','O23','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','A90','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','A06','0','0','1','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','L73','0','0','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','L89','0','0','1','0','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','J40','0','0','2','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','I25','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','J18','0','0','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','J10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','L24','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','D64','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','B37','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','L30','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','H00','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007451','04','0434','043414','043414012','06','2016','R10','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','0','1','Y'
