'DOH000000000000924','01','0155','015526','015526025','01','2016','J06','28','21','92','92','51','35','18','13','3','9','6','14','4','9','4','10','0','11','3','12','5','18','5','4','11','13','2','12','15','39','9','10','6','29','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','I10','3','4','0','1','0','1','0','0','0','0','0','0','0','1','2','2','3','5','9','8','13','20','18','20','24','28','35','45','79','163','34','66','45','97','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','E10','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','2','1','0','0','4','3','3','7','10','5','16','11','24','27','56','12','24','15','32','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','B34','8','4','24','16','12','18','3','4','0','1','1','0','1','0','2','2','0','1','1','3','3','2','1','2','0','0','1','1','2','3','1','1','1','2','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','A15','0','0','0','0','0','0','0','0','1','0','3','1','2','2','2','3','2','1','3','2','3','1','2','1','5','2','0','1','5','6','2','5','3','1','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','N39','0','0','2','4','1','2','2','0','2','4','0','1','0','3','1','2','0','2','1','2','0','3','1','2','0','1','0','2','2','5','2','2','0','3','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','A09','2','0','9','9','7','4','1','2','0','2','0','0','0','0','0','0','2','2','0','0','0','2','0','0','0','0','0','1','2','0','1','0','1','0','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','T79','0','0','3','1','5','1','0','0','1','1','2','1','1','0','1','1','1','3','0','2','0','2','1','0','1','1','0','1','0','1','0','0','0','1','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','1','1','4','1','1','0','0','4','11','3','5','1','6','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','T14','0','0','1','0','4','1','2','1','0','0','1','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','0','0','1','3','1','1','0','2','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','K29','0','0','0','0','1','0','0','0','0','0','2','2','0','3','0','2','2','0','1','0','2','2','0','0','0','1','0','0','4','3','2','0','2','3','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','L30','4','0','3','0','2','0','0','1','1','0','0','0','0','1','0','0','0','0','0','0','0','0','1','2','0','0','0','0','2','1','0','1','2','0','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','J45','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','1','2','1','0','0','3','2','5','1','0','1','5','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','H81','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','1','0','1','0','1','0','1','0','0','0','1','0','1','4','3','0','1','4','2','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','J18','1','0','3','1','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','3','0','0','0','3','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','K21','0','0','0','0','0','0','0','0','0','1','0','1','1','0','1','0','0','0','1','1','0','0','0','0','0','1','0','1','1','1','1','1','0','0','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','5','0','1','0','4','0','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','H10','0','0','1','1','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','1','0','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','L23','1','0','0','2','1','0','0','0','0','1','1','2','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','J40','1','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','L02','0','0','1','0','0','0','0','0','1','0','0','0','0','1','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2016','T78','0','1','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','1','0','0','0','1','Y'
