'DOH000000000000924','01','0155','015526','015526025','01','2015','J06','181','130','648','602','282','274','107','107','54','69','32','74','31','70','20','77','27','67','26','50','22','72','23','57','24','66','36','57','104','233','45','89','59','144','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','I10','1','7','0','0','0','1','0','0','1','0','1','1','2','11','8','9','26','44','71','76','77','131','134','174','106','207','255','260','489','1031','231','418','258','613','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','E10','0','2','0','0','0','0','0','0','0','1','2','0','6','5','0','3','11','7','1','8','23','23','46','69','22','71','74','102','124','246','59','100','65','146','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','N39','0','1','9','17','22','37','19','24','19','30','12','23','14','22','6','20','10','29','12','36','10','15','5','29','3','15','10','14','20','71','4','23','16','48','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','A15','0','0','2','0','1','3','2','1','4','5','10','7','11','7','13','5','10','14','15','12','10','10','10','14','11','19','10','10','39','20','20','14','19','6','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','A09','8','7','84','59','22','15','11','4','1','3','4','2','6','5','4','2','1','3','2','0','4','3','0','0','0','2','2','3','3','5','3','2','0','3','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','M13','0','0','0','0','0','0','3','1','0','0','0','1','2','4','2','3','1','2','4','8','2','14','1','8','9','8','13','19','30','101','10','37','20','64','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','L30','4','12','41','33','18','15','10','3','1','3','2','1','2','6','2','0','3','5','2','3','1','4','0','4','4','2','2','2','9','14','4','7','5','7','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','B34','6','7','28','30','15','16','8','8','4','2','1','8','5','3','0','1','1','2','1','4','0','2','1','1','2','4','2','4','2','7','1','3','1','4','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','J45','0','0','17','16','8','6','11','8','2','5','1','4','1','6','1','7','1','3','4','4','1','5','1','4','8','10','6','6','21','7','13','2','8','5','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','T14','0','0','7','5','8','5','7','2','0','0','2','1','4','1','4','2','5','0','1','2','1','0','3','1','0','1','2','0','1','2','0','0','1','2','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','K29','0','1','2','0','2','1','4','4','6','1','4','7','3','7','3','8','3','4','0','3','6','4','1','9','1','3','2','3','9','14','5','2','4','12','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','L02','2','1','11','9','5','5','2','2','1','3','4','2','2','2','1','2','3','4','1','1','3','1','0','2','0','0','2','0','2','2','2','1','0','1','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','J18','12','10','41','46','7','6','9','10','2','8','6','2','2','2','7','4','2','10','2','2','6','10','2','5','4','12','0','0','4','15','2','7','2','8','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','K21','0','0','0','0','0','0','2','2','4','0','2','4','3','4','6','8','5','6','1','8','0','5','1','5','1','7','4','3','7','9','2','4','5','5','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','H10','4','2','8','5','8','3','4','6','1','2','2','3','2','0','0','4','3','4','2','3','1','0','0','3','1','3','2','1','9','5','3','2','6','3','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','T79','0','0','4','2','12','6','5','3','1','5','4','1','4','1','3','3','5','0','2','1','1','0','3','0','2','2','3','0','5','5','0','3','5','2','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','H81','0','1','0','0','0','0','0','1','0','1','1','1','2','4','0','4','2','11','0','7','0','10','2','6','2','9','3','5','4','17','0','3','4','14','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','T78','0','0','6','7','0','2','0','0','0','3','0','1','0','0','1','1','0','0','0','1','1','2','1','0','0','1','1','1','1','3','0','2','1','1','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','J40','4','4','4','7','0','0','0','2','0','0','0','0','2','0','0','1','0','0','0','0','1','1','0','1','7','1','1','4','5','8','3','2','2','6','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','B82','0','1','11','12','11','4','1','2','1','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000924','01','0155','015526','015526025','01','2015','H60','0','0','17','12','7','6','6','2','0','12','0','2','2','2','0','3','4','10','0','6','2','4','1','0','2','1','0','2','2','0','0','0','2','0','Y'
