'DOH000000000000924','01','0155','015526','015526025','06','2016','I10','0','0','0','0','0','2','1','0','0','0','0','0','0','2','1','10','12','13','36','36','38','68','47','90','70','113','106','154','274','555','119','226','155','329','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','J06','43','30','203','162','71','66','36','23','12','16','10','15','7','18','9','29','3','18','8','12','4','13','8','23','6','28','7','25','31','63','12','26','19','37','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','E11','0','0','0','0','0','0','1','0','0','0','2','0','0','0','0','2','1','3','2','8','8','9','25','19','15','50','31','46','88','173','35','80','53','93','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','N39','1','0','6','6','11','12','6','6','4','16','3','7','3','6','3','5','3','10','5','11','5','4','5','8','3','8','4','12','11','19','5','2','6','17','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','A15','0','0','1','3','0','3','0','4','6','4','9','3','8','8','7','7','13','9','11','3','4','2','14','12','12','12','17','9','17','18','10','5','7','13','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','L30','7','6','46','23','8','15','4','6','2','2','1','6','0','1','1','3','1','4','2','2','0','1','1','2','3','3','2','2','13','8','5','3','8','5','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','L02','1','5','10','11','3','5','2','2','1','1','4','0','1','1','2','0','1','2','2','1','2','1','1','0','2','1','0','1','5','2','5','1','0','1','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','M13','0','0','0','0','0','0','0','0','0','0','0','1','1','1','1','0','2','4','2','2','1','4','3','2','1','6','6','6','10','38','3','15','7','23','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','T14','0','0','3','6','1','3','1','0','5','0','2','0','1','2','0','0','2','0','0','0','0','0','1','0','0','2','1','0','2','0','1','0','1','0','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','T79','0','0','2','3','5','3','4','1','4','0','3','1','2','1','0','1','2','0','3','2','1','0','1','1','2','4','1','1','4','3','1','3','3','0','Y'
'DOH000000000000924','01','0155','015526','015526025','06','2016','J45','1','0','3','0','1','1','0','2','0','0','0','1','0','1','0','3','0','0','2','0','1','1','0','3','3','2','4','6','11','8','6','4','5','4','Y'
