'DOH000000000000924','01','0155','015526','015526025','03','2017','I10','0','0','0','0','0','0','0','0','0','1','0','1','2','2','5','3','5','11','11','16','23','35','35','53','38','48','62','78','117','254','59','108','58','146','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','J06','15','14','95','70','36','33','12','4','3','5','1','5','1','8','2','7','2','10','1','8','4','7','5','6','4','7','6','11','16','34','7','17','9','17','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','1','3','5','7','3','3','14','8','9','22','52','12','28','10','24','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','A09','0','0','20','11','2','1','2','2','0','1','3','0','1','2','0','0','0','2','0','0','0','0','0','0','0','2','1','1','1','1','1','1','0','0','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','J18','8','6','25','26','10','1','7','0','0','0','0','0','0','0','0','2','0','0','0','0','0','5','2','0','0','2','0','2','2','8','0','6','2','2','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','N39','0','0','1','0','3','0','2','1','0','0','0','5','0','1','1','2','3','2','0','5','1','2','1','4','0','4','0','2','1','7','0','2','1','5','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','A15','0','0','1','0','0','0','0','0','0','0','1','0','4','1','1','1','1','2','1','0','4','2','3','2','1','2','7','1','6','4','5','1','1','3','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','T14','0','0','2','0','5','0','0','0','0','0','2','0','3','1','0','0','1','0','2','0','1','1','0','0','1','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','L30','1','0','5','3','1','1','2','0','1','1','1','0','0','1','0','0','0','0','0','0','2','1','0','1','0','0','0','0','2','3','1','2','1','1','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','1','3','2','1','0','3','1','11','0','4','1','7','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','T79','0','0','3','2','2','0','0','0','1','0','1','1','1','2','0','1','1','0','1','0','1','1','0','0','1','0','2','0','3','0','2','0','1','0','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','E10','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','1','0','0','1','1','2','5','3','7','2','0','1','7','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','L02','0','1','1','3','0','0','0','2','1','1','0','0','2','0','1','0','0','0','0','2','0','0','0','0','1','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','L73','3','1','0','2','3','4','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','K30','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','0','0','1','0','1','0','1','0','0','1','0','0','0','2','4','1','3','1','1','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','K21','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','0','0','0','1','0','1','0','1','0','1','1','5','1','3','0','2','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','B34','0','0','3','1','2','2','0','0','0','1','2','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','W54','0','0','3','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','1','1','0','1','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','J45','0','0','1','2','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','1','3','0','0','1','3','Y'
'DOH000000000000924','01','0155','015526','015526025','03','2017','M79','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','1','1','1','0','0','1','0','0','1','1','0','0','2','0','0','0','0','0','0','Y'
