'DOH000000000004939','09','0972','097207','097207011','03','2015','J06','7','7','22','23','15','14','8','5','0','0','0','2','0','2','0','0','0','1','1','3','0','3','0','5','0','3','3','1','1','3','0','3','1','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','K30','0','1','0','0','0','0','0','0','0','0','1','1','1','2','0','1','0','1','2','3','1','1','0','3','0','3','1','0','1','1','0','0','1','1','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','I10','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','1','2','1','2','1','0','0','2','3','4','2','2','1','2','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','T14','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','1','1','2','0','0','1','0','1','2','4','1','1','1','3','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','J18','1','2','4','5','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','T78','2','2','2','1','0','0','1','0','0','0','1','0','0','0','1','1','0','0','0','1','0','0','0','1','0','0','0','0','1','2','1','1','0','1','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','J22','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','0','0','1','0','0','0','2','1','0','0','1','1','0','3','0','0','0','3','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','J40','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','0','0','0','0','0','0','0','0','3','0','2','0','1','0','4','0','0','0','4','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','M13','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','2','0','0','4','0','0','0','4','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','T79','0','0','0','0','0','2','3','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','2','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','B86','0','0','3','0','3','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','D64','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','1','0','0','0','0','2','2','0','0','2','2','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','A09','0','0','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','0','0','0','0','0','1','1','0','1','1','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','W54','0','0','0','1','1','0','0','0','1','1','0','0','0','0','0','1','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','J10','1','0','1','1','2','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','B82','0','0','2','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','3','0','1','0','2','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','L74','1','1','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','R10','0','0','3','0','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','1','0','0','0','1','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','L03','0','0','1','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','J45','0','0','1','0','0','2','0','0','0','0','0','0','0','0','2','0','0','2','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','B01','0','0','0','0','0','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','H60','0','0','1','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','2','0','0','1','2','Y'
'DOH000000000004939','09','0972','097207','097207011','03','2015','L23','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
