'DOH000000000007211','03','0369','036908','036908019','02','2016','J06','14','10','53','62','28','30','5','8','0','3','0','3','1','3','2','0','2','4','1','3','0','2','1','2','2','3','2','1','1','5','0','1','1','4','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','I10','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','3','0','0','0','1','2','0','2','3','4','3','0','1','5','17','2','8','3','9','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','J40','0','1','0','0','1','0','1','0','1','0','1','2','0','2','1','3','0','4','1','4','0','3','0','1','3','0','1','0','3','6','0','0','3','6','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','J22','0','0','3','2','4','3','1','0','0','0','0','0','0','1','0','0','0','0','0','0','1','1','0','0','0','0','0','1','0','1','0','1','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','1','0','0','1','0','1','0','3','2','7','0','1','2','6','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','D64','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','T78','1','1','2','0','0','1','2','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','T79','0','0','2','1','1','0','2','0','1','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','L23','0','0','0','0','0','0','0','1','0','1','0','0','0','2','0','0','1','1','0','1','1','0','1','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','L03','0','0','0','1','1','0','2','0','0','1','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','K29','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','1','0','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','B34','1','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','R10','0','0','1','2','2','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','J10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','2','0','1','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','J45','0','0','2','0','2','2','0','1','0','0','0','2','0','0','0','0','0','0','0','0','2','1','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','K05','0','0','0','1','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','I20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','1','0','0','0','1','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','W54','0','0','0','0','0','0','0','0','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','H10','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','L01','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','L73','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','H65','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','H60','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','L30','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','H00','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','B01','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007211','03','0369','036908','036908019','02','2016','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
